a,b,c,d,e,f,g,h,i,j,class
0.383,0.531,0.531,0.937,0.583,0.791,0.933,0.541,0.832,0.94,0
0.786,0.921,0.916,0.61,0.683,0.725,0.452,0.586,0.847,0.491,0
0.94,0.838,0.594,0.524,0.322,0.303,0.911,0.871,0.986,0.139,0
0.051,0.773,0.196,0.188,0.38,0.178,0.094,0.497,0.526,0.365,1
0.361,0.851,0.143,0.098,0.837,0.788,0.077,0.281,0.769,0.881,0
0.359,0.379,0.833,0.506,0.651,0.595,0.517,0.272,0.702,0.733,1
0.403,0.195,0.471,0.455,0.663,0.799,0.823,0.915,0.846,0.793,0
0.105,0.8,0.76,0.363,0.794,0.277,0.034,0.63,0.894,0.548,1
0.213,0.378,0.166,0.337,0.314,0.419,0.64,0.97,0.208,0.492,0
0.384,0.7,0.655,0.706,0.823,0.9,0.785,0.555,0.897,0.524,0
0.503,0.339,0.735,0.848,0.518,0.818,0.611,0.73,0.5,0.627,0
0.786,0.686,0.739,0.658,0.859,0.493,0.171,0.51,0.922,0.687,0
0.941,0.978,0.29,0.256,0.253,0.205,0.201,0.99,0.256,0.293,0
0.188,0.595,0.103,0.573,0.174,0.65,0.824,0.951,0.286,0.882,1
0.79,0.059,0.33,0.805,0.865,0.482,0.588,0.644,0.047,0.171,0
0.813,0.611,0.845,0.16,0.352,0.756,0.784,0.057,0.54,0.908,0
0.399,0.87,0.627,0.83,0.905,0.624,0.542,0.601,0.111,0.674,1
0.911,0.952,0.536,0.81,0.218,0.622,0.019,0.861,0.957,0.043,1
0.9,0.24,0.292,0.568,0.949,0.372,0.416,0.151,0.009,0.064,0
0.004,0.393,0.562,0.311,0.418,0.193,0.951,0.894,0.478,0.165,0
0.983,0.136,0.948,0.152,0.003,0.946,0.293,0.922,0.85,0.294,1
0.092,0.373,0.8,0.122,0.67,0.173,0.602,0.841,0.184,0.456,1
0.946,0.9,0.708,0.838,0.675,0.962,0.344,0.566,0.551,0.739,0
0.661,0.086,0.193,0.587,0.372,0.249,0.578,0.578,0.484,0.186,1
0.455,0.471,0.6,0.832,0.983,0.965,0.871,0.504,0.115,0.988,0
0.801,0.174,0.906,0.371,0.299,0.634,0.563,0.127,0.192,0.25,0
0.318,0.459,0.275,0.611,0.42,0.442,0.328,0.91,0.956,0.953,1
0.484,0.849,0.2,0.303,0.825,0.576,0.86,0.489,0.897,0.356,0
0.737,0.983,0.888,0.523,0.376,0.214,0.691,0.411,0.351,0.32,0
0.598,0.119,0.037,0.223,0.016,0.764,0.126,0.348,0.736,0.205,1
0.682,0.112,0.685,0.272,0.49,0.9,0.385,0.214,0.086,0.226,0
0.017,0.402,0.397,0.8,0.224,0.795,0.835,0.96,0.249,0.64,0
0.606,0.432,0.713,0.194,0.77,0.446,0.092,0.016,0.443,0.625,0
0.875,0.916,0.718,0.706,0.287,0.554,0.489,0.083,0.27,0.901,1
0.442,0.531,0.004,0.064,0.17,0.159,0.299,0.065,0.512,0.851,0
0.923,0.999,0.215,0.972,0.19,0.214,0.747,0.371,0.392,0.526,0
0.186,0.333,0.828,0.946,0.086,0.921,0.537,0.132,0.81,0.55,0
0.041,0.604,0.197,0.875,0.314,0.943,0.851,0.514,0.336,0.247,0
0.646,0.544,0.138,0.775,0.956,0.86,0.745,0.025,0.816,0.542,0
0.715,0.197,0.903,0.899,0.041,0.213,0.082,0.143,0.557,0.121,1
0.298,0.071,0.313,0.702,0.618,0.638,0.029,0.819,0.451,0.131,1
0.642,0.215,0.566,0.078,0.32,0.712,0.485,0.059,0.469,0.0,1
0.117,0.948,0.601,0.97,0.849,0.047,0.797,0.205,0.744,0.204,0
0.019,0.403,0.098,0.757,0.319,0.372,0.14,0.366,0.839,0.66,0
0.55,0.448,0.797,0.663,0.074,0.931,0.743,0.145,0.241,0.806,0
0.441,0.967,0.097,0.116,0.826,0.745,0.239,0.97,0.937,0.492,0
0.006,0.91,0.355,0.554,0.652,0.913,0.311,0.424,0.601,0.834,0
0.911,0.818,0.502,0.754,0.62,0.993,0.72,0.892,0.63,0.189,1
0.538,0.516,0.291,0.087,0.072,0.756,0.874,0.121,0.551,0.884,0
0.423,0.545,0.285,0.012,0.033,0.875,0.89,0.614,0.974,0.268,1
0.936,0.176,0.522,0.682,0.408,0.042,0.485,0.404,0.075,0.062,0
0.973,0.712,0.578,0.873,0.348,0.896,0.278,0.717,0.156,0.873,1
0.657,0.401,0.924,0.799,0.608,0.655,0.329,0.146,0.272,0.944,1
0.333,0.196,0.38,0.737,0.224,0.991,0.013,0.294,0.564,0.257,0
0.667,0.35,0.648,0.256,0.843,0.145,0.387,0.958,0.602,0.223,0
0.563,0.139,0.515,0.479,0.475,0.129,0.45,0.312,0.276,0.582,1
0.418,0.793,0.528,0.2,0.155,0.093,0.652,0.981,0.827,0.539,1
0.466,0.875,0.878,0.185,0.551,0.332,0.47,0.337,0.005,0.565,1
0.334,0.85,0.698,0.317,0.165,0.825,0.189,0.349,0.603,0.573,0
0.551,0.607,0.898,0.863,0.316,0.95,0.042,0.754,0.449,0.179,1
0.288,0.944,0.522,0.447,0.365,0.756,0.381,0.553,0.224,0.181,1
0.164,0.351,0.89,0.132,0.464,0.502,0.205,0.355,0.354,0.766,0
0.608,0.727,0.849,0.973,0.518,0.626,0.06,0.581,0.988,0.052,0
0.634,0.52,0.907,0.841,0.635,0.21,0.39,0.796,0.144,0.629,1
0.955,0.681,0.889,0.675,0.055,0.084,0.467,0.466,0.507,0.487,1
0.396,0.44,0.798,0.748,0.37,0.025,0.542,0.186,0.706,0.835,0
0.496,0.503,0.257,0.221,0.156,0.532,0.936,0.892,0.611,0.096,1
0.202,0.639,0.166,0.175,0.826,0.268,0.581,0.154,0.253,0.131,1
0.744,0.48,0.24,0.105,0.377,0.099,0.765,0.185,0.576,0.224,0
0.356,0.524,0.489,0.306,0.274,0.121,0.334,0.625,0.636,0.285,0
0.969,0.382,0.073,0.902,0.871,0.97,0.463,0.347,0.736,0.518,1
0.166,0.011,0.828,0.578,0.674,0.693,0.926,0.721,0.628,0.845,1
0.745,0.298,0.861,0.882,0.994,0.936,0.218,0.794,0.875,0.85,1
0.746,0.429,0.092,0.248,0.164,0.137,0.53,0.983,0.994,0.276,1
0.241,0.898,0.491,0.431,0.25,0.391,0.756,0.513,0.458,0.196,1
0.175,0.786,0.558,0.859,0.204,0.259,0.843,0.231,0.873,0.297,0
0.117,0.543,0.92,0.521,0.314,0.016,0.102,0.52,0.862,0.119,1
0.915,0.117,0.505,0.805,0.975,0.658,0.776,0.899,0.711,0.624,0
0.284,0.142,0.673,0.32,0.317,0.425,0.481,0.544,0.58,0.321,0
0.88,0.33,0.685,0.753,0.052,0.64,0.73,0.443,0.55,0.286,1
0.992,0.024,0.486,0.445,0.949,0.121,0.369,0.177,0.341,0.926,1
0.034,0.503,0.996,0.577,0.274,0.273,0.937,0.462,0.573,0.158,0
0.466,0.78,0.151,0.97,0.795,0.848,0.04,0.402,0.473,0.797,0
0.851,0.524,0.053,0.492,0.72,0.849,0.067,0.537,0.745,0.322,1
0.687,0.861,0.428,0.831,0.112,0.776,0.032,0.849,0.035,0.509,0
0.439,0.741,0.507,0.862,0.064,0.752,0.35,0.983,0.167,0.644,0
0.098,0.506,0.989,0.296,0.78,0.75,0.068,0.145,0.542,0.879,0
0.972,0.272,0.139,0.848,0.943,0.931,0.38,0.964,0.843,0.344,0
0.937,0.41,0.409,0.593,0.519,0.147,0.905,0.138,0.788,0.482,1
0.411,0.063,0.856,0.103,0.659,0.213,0.336,0.412,0.976,0.376,1
0.92,0.771,0.359,0.646,0.603,0.016,0.32,0.839,0.626,0.438,0
0.731,0.822,0.594,0.177,0.901,0.883,0.916,0.926,0.678,0.669,1
0.097,0.443,0.388,0.84,0.24,0.455,0.736,0.717,0.29,0.045,0
0.975,0.198,0.666,0.026,0.336,0.835,0.381,0.412,0.952,0.548,0
0.977,0.598,0.335,0.629,0.152,0.149,0.019,0.829,0.923,0.735,0
0.929,0.984,0.011,0.091,0.784,0.409,0.614,0.605,0.167,0.822,0
0.469,0.146,0.943,0.474,0.137,0.139,0.456,0.244,0.711,0.758,0
0.966,0.353,0.328,0.59,0.571,0.543,0.442,0.161,0.35,0.413,0
0.625,0.702,0.998,0.906,0.589,0.722,0.101,0.331,0.135,0.549,0
0.039,0.696,0.528,0.449,0.962,0.813,0.718,0.571,0.28,0.784,0
0.267,0.22,0.713,0.718,0.055,0.543,0.991,0.542,0.314,0.189,0
0.815,0.72,0.134,0.823,0.268,0.797,0.307,0.637,0.015,0.87,1
0.178,0.406,0.799,0.022,0.787,0.338,0.024,0.095,0.331,0.483,0
0.323,0.605,0.299,0.895,0.451,0.045,0.321,0.778,0.58,0.751,0
0.849,0.289,0.877,0.072,0.863,0.799,0.476,0.652,0.974,0.96,0
0.034,0.632,0.784,0.639,0.214,0.047,0.295,0.481,0.98,0.219,1
0.253,0.705,0.762,0.315,0.645,0.778,0.836,0.123,0.565,0.747,1
0.644,0.641,0.657,0.374,0.775,0.185,0.91,0.235,0.107,0.521,1
0.217,0.258,0.876,0.157,0.347,0.409,0.172,0.342,0.325,0.729,0
0.364,0.889,0.59,0.121,0.906,0.095,0.897,0.514,0.83,0.698,0
0.494,0.861,0.16,0.132,0.858,0.472,0.372,0.752,0.798,0.553,1
0.243,0.777,0.411,0.432,0.049,0.774,0.114,0.353,0.331,0.15,1
0.625,0.816,0.774,0.397,0.623,0.832,0.853,0.118,0.128,0.066,1
0.594,0.946,0.111,0.847,0.828,0.095,0.439,0.54,0.794,0.03,0
0.921,0.457,0.319,0.947,0.345,0.86,0.241,0.396,0.9,0.198,1
0.385,0.394,0.972,0.642,0.434,0.33,0.548,0.338,0.876,0.882,1
0.356,0.247,0.76,0.216,0.137,0.751,0.657,0.186,0.802,0.083,0
0.261,0.66,0.644,0.739,0.142,0.882,0.29,0.713,0.925,0.54,1
0.067,0.258,0.695,0.044,0.115,0.739,0.494,0.667,0.008,0.889,1
0.213,0.351,0.529,0.042,0.057,0.869,0.009,0.434,0.495,0.53,0
0.439,0.912,0.646,0.856,0.493,0.655,0.028,0.371,0.687,0.735,1
0.919,0.803,0.049,0.494,0.434,0.219,0.707,0.966,0.16,0.661,1
0.337,0.44,0.172,0.902,0.182,0.587,0.695,0.339,0.892,0.223,0
0.371,0.667,0.708,0.511,0.89,0.671,0.7,0.441,0.96,0.635,0
0.078,0.817,0.276,0.167,0.547,0.078,0.019,0.678,0.715,0.522,1
0.899,0.61,0.627,0.707,0.806,0.458,0.973,0.483,0.643,0.9,0
0.101,0.36,0.203,0.628,0.455,0.703,0.894,0.345,0.797,0.031,1
0.648,0.417,0.22,0.312,0.717,0.646,0.747,0.725,0.889,0.243,0
0.73,0.188,0.216,0.489,0.156,0.135,0.52,0.107,0.826,0.329,1
0.497,0.261,0.042,0.22,0.889,0.452,0.452,0.708,0.67,0.666,0
0.365,0.233,0.875,0.523,0.275,0.179,0.075,0.822,0.455,0.731,1
0.044,0.519,0.354,0.152,0.965,0.78,0.235,0.397,0.471,0.547,0
0.862,0.19,0.436,0.28,0.639,0.396,0.237,0.255,0.653,0.81,1
0.219,0.135,0.39,0.016,0.882,0.511,0.978,0.87,0.526,0.866,0
0.823,0.324,0.594,0.165,0.758,0.966,0.379,0.956,0.966,0.283,0
0.223,0.758,0.33,0.999,0.98,0.117,0.213,0.112,0.22,0.304,1
0.708,0.97,0.226,0.004,0.746,0.218,0.72,0.852,0.848,0.524,1
0.601,0.679,0.362,0.876,0.646,0.205,0.431,0.209,0.475,0.097,1
0.465,0.138,0.292,0.474,0.521,0.266,0.982,0.878,0.8,0.263,1
0.199,0.93,0.544,0.901,0.097,0.971,0.509,0.586,0.064,0.843,1
0.797,0.982,0.371,0.026,0.178,0.793,0.771,0.696,0.409,0.504,0
0.08,0.647,0.887,0.263,0.111,0.56,0.712,0.648,0.018,0.622,0
0.61,0.917,0.264,0.105,0.049,0.476,0.109,0.768,0.339,0.79,1
0.658,0.38,0.076,0.946,0.582,0.32,0.588,0.841,0.552,0.939,1
0.514,0.947,0.116,0.553,0.742,0.915,0.522,0.504,0.221,0.754,1
0.534,0.27,0.733,0.543,0.844,0.813,0.17,0.848,0.332,0.055,0
0.321,0.091,0.067,0.647,0.9,0.656,0.017,0.321,0.439,0.737,1
0.49,0.694,0.341,0.369,0.347,0.9,0.262,0.952,0.401,0.658,1
0.117,0.298,0.056,0.093,0.878,0.078,0.006,0.424,0.605,0.996,0
0.23,0.312,0.735,0.667,0.428,0.866,0.462,0.279,0.992,0.316,0
0.785,0.326,0.91,0.754,0.34,0.61,0.803,0.871,0.757,0.103,1
0.687,0.102,0.117,0.343,0.472,0.228,0.108,0.146,0.224,0.653,1
0.104,0.048,0.7,0.077,0.184,0.674,0.639,0.108,0.048,0.625,1
0.012,0.615,0.172,0.01,0.193,0.244,0.593,0.877,0.577,0.709,1
0.236,0.867,0.235,0.107,0.248,0.744,0.771,0.132,0.512,0.36,1
0.093,0.154,0.947,0.765,0.384,0.256,0.417,0.967,0.184,0.25,0
0.809,0.343,0.631,0.31,0.245,0.255,0.986,0.347,0.738,0.445,0
0.638,0.654,0.483,0.233,0.081,0.044,0.101,0.693,0.472,0.384,1
0.608,0.37,0.601,0.294,0.483,0.447,0.339,0.013,0.381,0.78,1
0.445,0.91,0.686,0.061,0.677,0.561,0.535,0.04,0.169,0.286,1
0.415,0.464,0.57,0.814,0.134,0.22,0.855,0.774,0.763,0.764,0
0.189,0.146,0.568,0.838,0.674,0.306,0.12,0.267,0.458,0.887,0
0.978,0.721,0.296,0.332,0.688,0.508,0.613,0.285,0.471,0.322,1
0.061,0.116,0.445,0.636,0.788,0.734,0.133,0.119,0.023,0.157,1
0.639,0.609,0.656,0.619,0.453,0.301,0.752,0.344,0.227,0.983,0
0.117,0.448,0.198,0.164,0.98,0.093,0.055,0.194,0.349,0.955,1
0.527,0.033,0.995,0.248,0.522,0.458,0.19,0.372,0.106,0.368,0
0.561,0.452,0.737,0.923,0.241,0.356,0.962,0.927,0.781,0.36,0
0.42,0.977,0.768,0.008,0.483,0.346,0.195,0.517,0.586,0.404,1
0.309,0.303,0.989,0.235,0.145,0.858,0.964,1.0,0.815,0.577,1
0.34,0.805,0.786,0.591,0.381,0.407,0.388,0.331,0.819,0.659,1
0.979,0.274,0.783,0.176,0.087,0.531,0.367,0.506,0.768,0.197,1
0.22,0.608,0.876,0.964,0.929,0.516,0.452,0.504,0.581,0.255,0
0.283,0.65,0.789,0.312,0.467,0.905,0.729,0.907,0.107,0.737,1
0.637,0.169,0.769,0.867,0.914,0.648,0.721,0.439,0.953,0.545,0
0.22,0.353,0.853,0.359,0.262,0.308,0.78,0.293,0.82,0.629,1
0.86,0.927,0.441,0.427,0.618,0.964,0.107,0.238,0.022,0.278,0
0.871,0.295,0.302,0.485,0.213,0.436,0.733,0.156,0.835,0.848,0
0.932,0.22,0.177,0.549,0.9,0.621,0.626,0.034,0.332,0.182,0
0.404,0.696,0.4,0.489,0.563,0.401,0.172,0.712,0.123,0.447,1
0.862,0.242,0.479,0.225,0.255,0.679,0.931,0.04,0.925,0.359,0
0.123,0.181,0.341,0.071,0.15,0.986,0.926,0.186,0.026,0.835,1
0.938,0.935,0.354,0.128,0.167,0.661,0.369,0.605,0.333,0.78,0
0.638,0.419,0.267,0.198,0.238,0.417,0.22,0.202,0.224,0.468,0
0.322,0.556,0.371,0.478,0.041,0.815,0.121,0.537,0.543,0.376,0
0.07,0.679,0.072,0.61,0.855,0.235,0.704,0.146,0.829,0.759,1
0.073,0.202,0.066,0.224,0.932,0.212,0.111,0.578,0.692,0.028,0
0.808,0.378,0.723,0.405,0.219,0.341,0.57,0.878,0.633,0.482,0
0.213,0.356,0.002,0.755,0.576,0.15,0.429,0.976,0.915,0.475,0
0.717,0.12,0.335,0.972,0.252,0.501,0.474,0.148,0.952,0.055,1
0.979,0.114,0.094,0.294,0.511,0.34,0.316,0.445,0.594,0.641,1
0.215,0.894,0.627,0.358,0.401,0.568,0.226,0.144,0.943,0.242,0
0.199,0.266,0.305,0.117,0.345,0.731,0.493,0.806,0.444,0.91,0
0.46,0.074,0.007,0.58,0.842,0.174,0.031,0.667,0.759,0.881,1
0.477,0.357,0.14,0.274,0.987,0.172,0.789,0.393,0.013,0.749,1
0.774,0.09,0.81,0.002,0.118,0.601,0.229,0.851,0.423,0.753,1
0.789,0.349,0.374,0.547,0.905,0.431,0.291,0.819,0.617,0.489,0
0.883,0.277,0.021,0.71,0.279,0.023,0.783,0.786,0.809,0.012,0
0.195,0.214,0.996,0.554,0.884,0.661,0.338,0.33,0.077,0.766,1
0.696,0.868,0.581,0.004,0.332,0.337,0.249,0.954,0.425,0.588,1
0.915,0.099,0.771,0.197,0.37,0.28,0.986,0.737,0.755,0.464,1
0.89,0.443,0.669,0.761,0.465,0.13,0.395,0.213,0.435,0.912,0
0.43,0.894,0.709,0.63,0.531,0.145,0.245,0.02,0.049,0.553,0
0.645,0.287,0.754,0.893,0.028,0.359,0.277,0.15,0.955,0.535,0
0.025,0.98,0.246,0.617,0.131,0.39,0.702,0.27,0.802,0.423,1
0.1,0.882,0.918,0.922,0.697,0.473,0.291,0.221,0.04,0.349,0
0.941,0.789,0.391,0.521,0.546,0.706,0.316,0.734,0.408,0.581,1
0.68,0.555,0.969,0.592,0.719,0.759,0.262,0.545,0.495,0.329,0
0.851,0.597,0.06,0.717,0.637,0.777,0.956,0.946,0.797,0.122,0
0.098,0.255,0.3,0.842,0.187,0.951,0.938,0.54,0.868,0.387,0
0.034,0.948,0.456,0.568,0.785,0.029,0.132,0.697,0.359,0.496,1
0.688,0.953,0.745,0.413,0.181,0.312,0.631,0.343,0.026,0.577,1
0.163,0.472,0.967,0.215,0.928,0.307,0.792,0.68,0.917,0.396,0
0.746,0.103,0.791,0.142,0.153,0.796,0.102,0.623,0.573,0.305,1
0.409,0.183,0.217,0.317,0.076,0.185,0.752,0.054,0.606,0.112,0
0.811,0.241,0.089,0.981,0.153,0.634,0.763,0.531,0.11,0.179,0
0.889,0.066,1.0,0.109,0.87,0.318,0.57,0.173,0.474,0.586,0
0.934,0.754,0.8,0.835,0.19,0.91,0.491,0.618,0.838,0.863,1
0.079,0.21,0.712,0.706,0.539,0.681,0.616,0.215,0.137,0.112,1
0.014,0.933,0.627,0.588,0.381,0.5,0.498,0.693,0.03,0.603,1
0.335,0.988,0.17,0.553,0.508,0.305,0.563,0.687,0.271,0.458,0
0.754,0.469,0.315,0.647,0.181,0.426,0.23,0.324,0.044,0.187,1
0.77,0.65,0.121,0.086,0.298,0.952,0.666,0.088,0.983,0.02,0
0.631,0.136,0.385,0.814,0.769,0.288,0.034,0.45,0.938,0.661,0
0.946,0.722,0.997,0.298,0.614,0.999,0.395,0.878,0.579,0.305,1
0.462,0.556,0.588,0.025,0.253,0.386,0.873,0.906,0.795,0.542,0
0.662,0.482,0.195,0.062,0.864,0.937,0.208,0.599,0.346,0.92,0
0.101,0.51,0.626,0.69,0.785,0.164,0.236,0.506,0.458,0.752,0
0.922,0.733,0.651,0.073,0.057,0.716,0.898,0.435,0.017,0.703,0
0.35,0.869,0.507,0.014,0.333,0.532,0.658,0.577,0.354,0.313,1
0.065,0.386,0.793,0.872,0.682,0.317,0.668,0.916,0.795,0.464,1
0.799,0.015,0.606,0.792,0.6,0.479,0.953,0.025,0.488,0.021,0
0.52,0.591,0.439,0.537,0.226,0.69,0.53,0.126,0.534,0.824,0
0.192,0.426,0.696,0.949,0.981,0.858,0.919,0.085,0.965,0.17,0
0.499,0.917,0.004,0.688,0.399,0.863,0.794,0.694,0.03,0.239,0
0.52,0.039,0.271,0.816,0.507,0.665,0.243,0.277,0.687,0.693,1
0.509,0.073,0.285,0.37,0.884,0.571,0.409,0.664,0.941,0.704,0
0.837,0.03,0.274,0.749,0.265,0.757,0.675,0.948,0.861,0.444,0
0.607,0.276,0.909,0.847,0.945,0.702,0.568,0.263,0.592,0.156,0
0.21,0.012,0.103,0.593,0.327,0.324,0.322,0.569,0.003,0.445,0
0.073,0.874,0.78,0.703,0.956,0.59,0.304,0.176,0.861,0.889,1
0.722,0.431,0.117,0.039,0.899,0.362,0.214,0.563,0.798,0.94,1
0.867,0.084,0.138,0.07,0.781,0.218,0.108,0.808,0.709,0.967,0
0.69,0.429,0.803,0.746,0.456,0.28,0.687,0.891,0.555,0.23,0
0.965,0.053,0.68,0.331,0.514,0.354,0.21,0.846,0.672,0.577,0
0.906,0.068,0.182,0.444,0.647,0.383,0.388,0.967,0.71,0.345,1
0.309,0.364,0.9,0.417,0.193,0.547,0.542,0.126,0.458,0.794,1
0.313,0.689,0.859,0.422,0.397,0.034,0.389,0.838,0.969,0.761,0
0.293,0.688,0.149,0.148,0.13,0.195,0.192,0.36,0.623,0.827,0
0.496,0.065,0.569,0.359,0.136,0.01,0.179,0.769,0.156,0.943,0
0.025,0.188,0.772,0.264,0.297,0.62,0.756,0.66,0.118,0.231,0
0.141,0.297,0.774,0.208,0.605,0.82,0.966,0.483,0.835,0.116,1
0.655,0.744,0.45,0.668,0.171,0.067,0.01,0.076,0.794,0.265,0
0.033,0.849,0.491,0.104,0.559,0.001,0.677,0.986,0.608,0.854,1
0.759,0.762,0.733,0.804,0.912,0.464,0.466,0.721,0.802,0.323,1
0.082,0.478,0.21,0.733,0.961,0.856,0.838,0.309,0.488,0.218,1
0.89,0.883,0.365,0.8,0.698,0.716,0.479,0.213,0.838,0.582,1
0.853,0.159,0.386,0.231,0.26,0.009,0.323,0.272,0.055,0.143,0
0.704,0.032,0.665,0.409,0.876,0.029,0.138,0.854,0.869,0.557,0
0.683,0.963,0.442,0.776,0.161,0.425,0.741,0.903,0.983,0.484,1
0.068,0.096,0.037,0.432,0.641,0.467,0.054,0.061,0.805,0.558,0
0.285,0.122,0.104,0.381,0.019,0.177,0.206,0.89,0.006,0.114,0
0.22,0.317,0.494,0.829,0.943,0.222,0.401,0.671,0.289,0.087,0
0.218,0.014,0.282,0.965,0.816,0.516,0.926,0.126,0.793,0.951,1
0.911,0.117,0.399,0.374,0.504,0.321,0.236,0.828,0.433,0.561,1
0.824,0.699,0.473,0.161,0.504,0.595,0.728,0.691,0.487,0.661,0
0.675,0.347,0.059,0.379,0.456,0.941,0.41,0.014,0.165,0.688,0
0.696,0.856,0.76,0.758,0.396,0.416,0.889,0.362,0.934,0.069,0
0.25,0.058,0.352,0.829,0.254,0.473,0.876,0.021,0.238,0.156,0
0.188,0.257,0.63,0.714,0.025,0.718,0.013,0.85,0.033,0.971,0
0.116,0.377,0.901,0.856,0.126,0.622,0.016,0.562,0.08,0.87,0
0.705,0.905,0.345,0.704,0.646,0.306,0.275,0.24,0.346,0.32,1
0.255,0.698,0.432,0.866,0.372,0.703,0.529,0.57,0.4,0.621,1
0.249,0.183,0.135,0.453,0.024,0.031,0.568,0.555,0.98,0.357,1
0.628,0.587,0.95,0.587,0.244,0.613,0.938,0.87,0.634,0.735,1
0.611,0.44,0.466,0.346,0.343,0.954,0.168,0.531,0.277,0.118,1
0.684,0.926,0.545,0.175,0.252,0.181,0.829,0.899,0.575,0.139,1
0.39,0.451,0.951,0.619,0.179,0.566,0.366,0.35,0.399,0.13,0
0.894,0.536,0.325,0.617,0.175,0.481,0.164,0.567,0.391,0.39,0
0.259,0.597,0.407,0.098,0.143,0.003,0.803,0.558,0.126,0.416,1
0.134,0.559,0.09,0.009,0.043,0.152,0.799,0.705,0.337,0.659,1
0.921,0.768,0.81,0.839,0.776,0.033,0.985,0.389,0.017,0.951,1
0.145,0.432,0.134,0.931,0.174,0.615,0.276,0.934,0.644,0.115,0
0.639,0.746,0.699,0.313,0.816,0.235,0.939,0.582,0.673,0.858,1
0.921,0.14,0.467,0.913,0.23,0.94,0.308,0.858,0.158,0.083,0
0.67,0.131,0.104,0.997,0.176,0.624,0.38,0.472,0.065,0.412,0
0.642,0.913,0.576,0.425,0.828,0.181,0.966,0.633,0.405,0.805,1
0.45,0.267,0.289,0.815,0.045,0.34,0.804,0.867,0.152,0.681,1
0.331,0.272,0.285,0.751,0.075,0.429,0.353,0.521,0.411,0.968,1
0.814,0.398,0.224,0.577,0.469,0.701,0.672,0.967,0.222,0.696,0
0.476,0.341,0.496,0.849,0.271,0.318,0.815,0.879,0.505,0.537,1
0.352,0.929,0.793,0.998,0.809,0.227,0.341,0.962,0.867,0.436,1
0.027,0.137,0.836,0.781,0.268,0.804,0.861,0.096,0.676,0.724,1
0.246,0.037,0.206,0.006,0.913,0.999,0.725,0.563,0.702,0.301,1
0.571,0.756,0.712,0.631,0.128,0.589,0.981,0.259,0.45,0.432,1
0.723,0.167,0.209,0.625,0.469,0.462,0.524,0.309,0.94,0.911,1
0.658,0.193,0.731,0.679,0.156,0.479,0.413,0.454,0.512,0.566,0
0.634,0.787,0.965,0.571,0.669,0.45,0.34,0.74,0.797,0.799,0
0.191,0.2,0.567,0.851,0.296,0.04,0.852,0.845,0.877,0.437,1
0.658,0.575,0.77,0.657,0.815,0.062,0.885,0.394,0.625,0.761,0
0.646,0.103,0.566,0.658,0.11,0.439,0.812,0.691,0.368,0.029,1
0.629,0.391,0.158,0.682,0.173,0.811,0.715,0.317,0.416,0.031,0
0.477,0.209,0.215,0.996,0.246,0.8,0.294,0.988,0.001,0.609,0
0.972,0.341,0.508,0.578,0.521,0.446,0.703,0.02,0.758,0.985,1
0.773,0.127,0.931,0.271,0.495,0.428,0.783,0.397,0.786,0.438,1
0.217,0.024,0.421,0.244,0.02,0.595,0.248,0.843,0.208,0.224,0
0.239,0.349,0.236,0.307,0.406,0.642,0.867,0.483,0.456,0.832,0
0.912,0.888,0.619,0.619,0.636,0.086,0.668,0.513,0.087,0.422,0
0.074,0.822,0.541,0.447,0.759,0.387,0.314,0.604,0.747,0.387,0
0.762,0.299,0.898,0.066,0.231,0.67,0.149,0.865,0.567,0.599,1
0.632,0.481,0.492,0.171,0.461,0.134,0.433,0.875,0.075,0.97,0
0.675,0.223,0.702,0.199,0.116,0.069,0.906,0.119,0.841,0.397,1
0.717,0.513,0.374,0.558,0.178,0.918,0.266,0.821,0.341,0.23,1
0.147,0.212,0.017,0.994,0.342,0.43,0.316,0.183,0.378,0.201,0
0.569,0.241,0.502,0.511,0.544,0.098,0.68,0.301,0.731,0.622,0
0.111,0.666,0.094,0.482,0.277,0.907,0.289,0.636,0.817,0.1,1
0.612,0.174,0.66,0.171,0.671,0.065,0.148,0.929,0.331,0.36,0
0.998,0.96,0.928,0.824,0.217,0.054,0.385,0.509,0.355,0.874,1
0.984,0.627,0.206,0.893,0.168,0.558,0.808,0.248,0.222,0.563,0
0.385,0.246,0.853,0.458,0.421,0.177,0.412,0.025,0.783,0.761,0
0.809,0.295,0.688,0.725,0.836,0.12,0.233,0.173,0.39,0.874,1
0.546,0.897,0.098,0.743,0.489,0.469,0.403,0.612,0.283,0.635,0
0.743,0.321,0.096,0.375,0.232,0.033,0.826,0.719,0.06,0.348,0
0.313,0.811,0.551,0.414,0.914,0.259,0.479,0.87,0.076,0.875,0
0.387,0.739,0.313,0.554,0.962,0.768,0.615,0.481,0.489,0.736,0
0.623,0.316,0.635,0.662,0.507,0.912,0.571,0.406,0.753,0.694,0
0.505,0.051,0.946,0.268,0.818,0.315,0.89,0.499,0.463,0.629,0
0.908,0.147,0.421,0.61,0.102,0.2,0.002,0.879,0.269,0.858,0
0.837,0.446,0.529,0.101,0.115,0.351,0.121,0.879,0.597,0.466,1
0.955,0.123,0.075,0.724,0.794,0.245,0.399,0.079,0.925,0.033,1
0.382,0.328,0.262,0.979,0.71,0.75,0.706,0.723,0.451,0.742,1
0.792,0.274,0.941,0.373,0.141,0.437,0.093,0.874,0.163,0.198,1
